,Gesamtfallzahlen,neu
Bedburg,1622,8
Bergheim,5336,40
Brühl,3463,27
Elsdorf,1526,22
Erftstadt,3004,29
Frechen,4350,47
Hürth,5496,29
Kerpen,5355,54
Pulheim,3578,12
Wesseling,3572,27
