,Gesamtfallzahlen,neu
Bedburg,1053,1
Bergheim,3406,6
Brühl,2317,1
Elsdorf,984,0
Erftstadt,1851,0
Frechen,2782,3
Hürth,3071,0
Kerpen,3421,6
Pulheim,1957,0
Wesseling,2418,6
