,Gesamtfallzahlen,neu
Bedburg,948,0
Bergheim,2849,0
Brühl,2064,0
Elsdorf,831,0
Erftstadt,1607,1
Frechen,2440,0
Hürth,2723,0
Kerpen,2913,1
Pulheim,1719,1
Wesseling,2082,0
