,Gesamtfallzahlen,neu
Bedburg,948,0
Bergheim,2845,0
Brühl,2064,0
Elsdorf,830,0
Erftstadt,1604,1
Frechen,2438,1
Hürth,2711,0
Kerpen,2910,0
Pulheim,1718,1
Wesseling,2079,3
