,Gesamtfallzahlen,neu
Bedburg,1365,22
Bergheim,4424,32
Brühl,2840,24
Elsdorf,1275,14
Erftstadt,2486,18
Frechen,3571,11
Hürth,4287,36
Kerpen,4464,30
Pulheim,2712,28
Wesseling,2960,18
