,Gesamtfallzahlen,neu
Bedburg,1099,3
Bergheim,3617,7
Brühl,2393,2
Elsdorf,1022,1
Erftstadt,1979,11
Frechen,2931,3
Hürth,3218,9
Kerpen,3640,17
Pulheim,2051,3
Wesseling,2558,5
