,Gesamtfallzahlen,neu
Bedburg,1031,9
Bergheim,3273,27
Brühl,2264,7
Elsdorf,947,7
Erftstadt,1791,12
Frechen,2707,10
Hürth,2989,10
Kerpen,3319,24
Pulheim,1910,7
Wesseling,2351,9
