Kommune,Gesamtfallzahlen
Bedburg,941
Bergheim,2820
Brühl,2037
Elsdorf,830
Erftstadt,1598
Frechen,2420
Hürth,2701
Kerpen,2890
Pulheim,1702
Wesseling,2056
Rhein-Erft-Kreis,19995
