,Gesamtfallzahlen,neu
Bedburg,1343,7
Bergheim,4392,54
Brühl,2816,16
Elsdorf,1261,4
Erftstadt,2468,16
Frechen,3560,43
Hürth,4251,39
Kerpen,4434,43
Pulheim,2684,37
Wesseling,2942,13
