,Gesamtfallzahlen,neu
Bedburg,946,0
Bergheim,2835,0
Brühl,2045,0
Elsdorf,831,0
Erftstadt,1600,0
Frechen,2424,0
Hürth,2707,0
Kerpen,2896,0
Pulheim,1710,0
Wesseling,2070,0
