,Gesamtfallzahlen,neu
Bedburg,961,1
Bergheim,2910,5
Brühl,2115,2
Elsdorf,854,0
Erftstadt,1648,3
Frechen,2466,3
Hürth,2784,2
Kerpen,2973,2
Pulheim,1752,3
Wesseling,2143,0
