Kommune,Gesamtfallzahlen
Bedburg,939
Bergheim,2813
Brühl,2027
Elsdorf,830
Erftstadt,1598
Frechen,2417
Hürth,2692
Kerpen,2888
Pulheim,1695
Wesseling,2049
Rhein-Erft-Kreis,19948
