,Gesamtfallzahlen,neu
Bedburg,982,2
Bergheim,3039,7
Brühl,2166,2
Elsdorf,873,0
Erftstadt,1694,8
Frechen,2560,10
Hürth,2849,1
Kerpen,3086,6
Pulheim,1815,6
Wesseling,2217,2
