,Gesamtfallzahlen,neu
Bedburg,944,2
Bergheim,2828,6
Brühl,2038,-1
Elsdorf,831,1
Erftstadt,1598,0
Frechen,2423,0
Hürth,2706,3
Kerpen,2894,2
Pulheim,1702,0
Wesseling,2063,6
