,Gesamtfallzahlen,neu
Bedburg,1324,13
Bergheim,4310,31
Brühl,2783,10
Elsdorf,1241,10
Erftstadt,2432,15
Frechen,3503,20
Hürth,4180,25
Kerpen,4376,32
Pulheim,2620,13
Wesseling,2913,9
