,Gesamtfallzahlen,neu
Bedburg,956,1
Bergheim,2872,3
Brühl,2086,7
Elsdorf,840,0
Erftstadt,1632,6
Frechen,2451,1
Hürth,2757,10
Kerpen,2943,4
Pulheim,1737,3
Wesseling,2113,3
