,Gesamtfallzahlen,neu
Bedburg,1149,4
Bergheim,3793,13
Brühl,2506,12
Elsdorf,1047,2
Erftstadt,2110,9
Frechen,3093,14
Hürth,3474,14
Kerpen,3858,8
Pulheim,2199,12
Wesseling,2638,5
