,Gesamtfallzahlen,neu
Bedburg,1265,6
Bergheim,4156,36
Brühl,2702,24
Elsdorf,1179,10
Erftstadt,2344,20
Frechen,3395,22
Hürth,4027,51
Kerpen,4261,31
Pulheim,2495,17
Wesseling,2828,15
