,Gesamtfallzahlen,neu
Bedburg,1113,1
Bergheim,3682,18
Brühl,2419,8
Elsdorf,1030,1
Erftstadt,2022,11
Frechen,2987,11
Hürth,3298,13
Kerpen,3727,18
Pulheim,2101,10
Wesseling,2582,4
