,Gesamtfallzahlen,neu
Bedburg,1190,9
Bergheim,3931,38
Brühl,2582,14
Elsdorf,1096,10
Erftstadt,2217,26
Frechen,3217,17
Hürth,3757,47
Kerpen,4056,28
Pulheim,2344,29
Wesseling,2722,14
