,Gesamtfallzahlen,neu
Bedburg,1019,3
Bergheim,3228,23
Brühl,2251,9
Elsdorf,932,1
Erftstadt,1773,6
Frechen,2692,24
Hürth,2969,18
Kerpen,3284,15
Pulheim,1900,3
Wesseling,2331,6
