,Gesamtfallzahlen,neu
Bedburg,1626,4
Bergheim,5370,34
Brühl,3493,30
Elsdorf,1541,15
Erftstadt,3037,33
Frechen,4370,20
Hürth,5549,53
Kerpen,5386,31
Pulheim,3608,30
Wesseling,3608,36
