,Gesamtfallzahlen,neu
Bedburg,2747,58
Bergheim,8693,169
Brühl,5637,128
Elsdorf,2485,40
Erftstadt,4953,98
Frechen,7007,100
Hürth,8688,119
Kerpen,8641,168
Pulheim,5518,84
Wesseling,5970,125
