,Gesamtfallzahlen,neu
Bedburg,980,1
Bergheim,3024,7
Brühl,2155,2
Elsdorf,869,1
Erftstadt,1681,2
Frechen,2544,7
Hürth,2841,3
Kerpen,3071,6
Pulheim,1805,4
Wesseling,2202,7
