,Gesamtfallzahlen,neu
Bedburg,1050,3
Bergheim,3375,10
Brühl,2306,1
Elsdorf,982,3
Erftstadt,1845,6
Frechen,2770,2
Hürth,3058,7
Kerpen,3401,6
Pulheim,1953,6
Wesseling,2398,5
