,Gesamtfallzahlen,neu
Bedburg,1381,16
Bergheim,4483,59
Brühl,2858,18
Elsdorf,1288,13
Erftstadt,2496,10
Frechen,3601,30
Hürth,4326,39
Kerpen,4498,34
Pulheim,2739,27
Wesseling,2985,25
