,Gesamtfallzahlen,neu
Bedburg,1089,3
Bergheim,3572,13
Brühl,2364,0
Elsdorf,1010,0
Erftstadt,1918,2
Frechen,2900,7
Hürth,3181,5
Kerpen,3570,5
Pulheim,2032,10
Wesseling,2539,3
