,Gesamtfallzahlen,neu
Bedburg,975,1
Bergheim,2968,21
Brühl,2133,4
Elsdorf,860,0
Erftstadt,1661,6
Frechen,2485,3
Hürth,2807,4
Kerpen,3019,14
Pulheim,1774,7
Wesseling,2169,8
