,Gesamtfallzahlen,neu
Bedburg,1044,2
Bergheim,3343,18
Brühl,2296,5
Elsdorf,976,8
Erftstadt,1824,7
Frechen,2752,10
Hürth,3043,18
Kerpen,3383,11
Pulheim,1937,6
Wesseling,2376,10
