Kommune,Gesamtfallzahlen
Bedburg,940
Bergheim,2817
Brühl,2030
Elsdorf,830
Erftstadt,1598
Frechen,2418
Hürth,2694
Kerpen,2890
Pulheim,1699
Wesseling,2053
Rhein-Erft-Kreis,19969
