,Gesamtfallzahlen,neu
Bedburg,983,1
Bergheim,3051,12
Brühl,2168,2
Elsdorf,875,2
Erftstadt,1698,4
Frechen,2566,6
Hürth,2851,2
Kerpen,3094,8
Pulheim,1820,5
Wesseling,2218,1
