,Gesamtfallzahlen,neu
Bedburg,998,2
Bergheim,3136,17
Brühl,2214,11
Elsdorf,909,8
Erftstadt,1732,7
Frechen,2611,11
Hürth,2909,13
Kerpen,3186,17
Pulheim,1859,4
Wesseling,2277,4
