,Gesamtfallzahlen,neu
Bedburg,1173,0
Bergheim,3870,8
Brühl,2556,4
Elsdorf,1082,4
Erftstadt,2176,5
Frechen,3191,12
Hürth,3675,27
Kerpen,3997,18
Pulheim,2294,9
Wesseling,2693,13
