,Gesamtfallzahlen,neu
Bedburg,979,1
Bergheim,3017,9
Brühl,2153,7
Elsdorf,868,1
Erftstadt,1679,2
Frechen,2537,7
Hürth,2838,6
Kerpen,3065,11
Pulheim,1801,2
Wesseling,2195,4
