,Gesamtfallzahlen,neu
Bedburg,1091,2
Bergheim,3579,7
Brühl,2366,2
Elsdorf,1012,2
Erftstadt,1926,8
Frechen,2904,4
Hürth,3183,2
Kerpen,3579,9
Pulheim,2034,2
Wesseling,2543,4
