,Gesamtfallzahlen,neu
Bedburg,1105,2
Bergheim,3640,8
Brühl,2400,3
Elsdorf,1024,1
Erftstadt,1997,3
Frechen,2957,9
Hürth,3247,7
Kerpen,3679,15
Pulheim,2069,5
Wesseling,2565,4
