,Gesamtfallzahlen,neu
Bedburg,3052,61
Bergheim,9706,131
Brühl,6273,92
Elsdorf,2729,33
Erftstadt,5634,125
Frechen,7704,84
Hürth,9584,140
Kerpen,9628,135
Pulheim,6137,106
Wesseling,6600,90
