,Gesamtfallzahlen,neu
Bedburg,1509,4
Bergheim,4935,15
Brühl,3086,11
Elsdorf,1400,2
Erftstadt,2755,7
Frechen,3935,28
Hürth,4866,33
Kerpen,4929,22
Pulheim,3156,25
Wesseling,3266,11
