,Gesamtfallzahlen,neu
Bedburg,1151,2
Bergheim,3804,11
Brühl,2514,8
Elsdorf,1051,4
Erftstadt,2127,17
Frechen,3112,19
Hürth,3499,25
Kerpen,3873,15
Pulheim,2218,19
Wesseling,2643,5
