,Gesamtfallzahlen,neu
Bedburg,1112,3
Bergheim,3664,12
Brühl,2411,4
Elsdorf,1029,3
Erftstadt,2011,10
Frechen,2976,10
Hürth,3285,25
Kerpen,3709,12
Pulheim,2091,9
Wesseling,2578,8
