,Gesamtfallzahlen,neu
Bedburg,1487,9
Bergheim,4872,27
Brühl,3041,15
Elsdorf,1381,12
Erftstadt,2719,9
Frechen,3859,23
Hürth,4767,27
Kerpen,4842,25
Pulheim,3076,7
Wesseling,3209,19
