,Gesamtfallzahlen,neu
Bedburg,984,1
Bergheim,3056,5
Brühl,2170,2
Elsdorf,876,1
Erftstadt,1700,2
Frechen,2566,0
Hürth,2864,13
Kerpen,3107,13
Pulheim,1823,3
Wesseling,2222,4
