,Gesamtfallzahlen,neu
Bedburg,1078,8
Bergheim,3484,11
Brühl,2341,2
Elsdorf,999,0
Erftstadt,1880,2
Frechen,2840,8
Hürth,3128,1
Kerpen,3511,5
Pulheim,1992,1
Wesseling,2482,8
