,Gesamtfallzahlen,neu
Bedburg,1094,3
Bergheim,3586,7
Brühl,2371,5
Elsdorf,1019,7
Erftstadt,1930,4
Frechen,2909,5
Hürth,3187,4
Kerpen,3590,11
Pulheim,2036,2
Wesseling,2544,1
