,Gesamtfallzahlen,neu
Bedburg,948,0
Bergheim,2844,1
Brühl,2063,2
Elsdorf,830,0
Erftstadt,1601,0
Frechen,2433,3
Hürth,2709,0
Kerpen,2907,1
Pulheim,1717,1
Wesseling,2076,0
