,Gesamtfallzahlen,neu
Bedburg,1138,8
Bergheim,3742,18
Brühl,2439,5
Elsdorf,1038,0
Erftstadt,2064,9
Frechen,3029,8
Hürth,3394,27
Kerpen,3788,8
Pulheim,2153,17
Wesseling,2600,2
