,Gesamtfallzahlen,neu
Bedburg,1083,1
Bergheim,3525,5
Brühl,2352,3
Elsdorf,1005,1
Erftstadt,1896,4
Frechen,2868,5
Hürth,3142,5
Kerpen,3532,5
Pulheim,2010,5
Wesseling,2513,8
