,Gesamtfallzahlen,neu
Bedburg,1067,2
Bergheim,3461,6
Brühl,2334,2
Elsdorf,998,2
Erftstadt,1876,2
Frechen,2826,9
Hürth,3109,3
Kerpen,3498,12
Pulheim,1989,11
Wesseling,2469,1
