,Gesamtfallzahlen,neu
Bedburg,1602,12
Bergheim,5244,23
Brühl,3389,16
Elsdorf,1487,7
Erftstadt,2932,19
Frechen,4253,18
Hürth,5375,25
Kerpen,5251,29
Pulheim,3506,27
Wesseling,3488,8
