,Gesamtfallzahlen,neu
Bedburg,1579,10
Bergheim,5185,40
Brühl,3323,47
Elsdorf,1471,14
Erftstadt,2890,29
Frechen,4211,47
Hürth,5303,74
Kerpen,5181,49
Pulheim,3453,57
Wesseling,3450,36
