,Gesamtfallzahlen,neu
Bedburg,1085,0
Bergheim,3555,6
Brühl,2359,4
Elsdorf,1010,4
Erftstadt,1912,2
Frechen,2891,3
Hürth,3172,11
Kerpen,3559,4
Pulheim,2023,6
Wesseling,2530,4
