,Gesamtfallzahlen,neu
Bedburg,1045,1
Bergheim,3355,12
Brühl,2298,2
Elsdorf,978,2
Erftstadt,1830,6
Frechen,2759,7
Hürth,3047,4
Kerpen,3392,9
Pulheim,1943,6
Wesseling,2384,8
