,Gesamtfallzahlen,neu
Bedburg,1080,1
Bergheim,3512,9
Brühl,2348,4
Elsdorf,1002,1
Erftstadt,1886,2
Frechen,2853,6
Hürth,3133,3
Kerpen,3520,7
Pulheim,2003,1
Wesseling,2496,9
