,Gesamtfallzahlen,neu
Bedburg,948,0
Bergheim,2847,0
Brühl,2064,0
Elsdorf,831,0
Erftstadt,1606,0
Frechen,2438,0
Hürth,2717,5
Kerpen,2911,0
Pulheim,1718,0
Wesseling,2080,1
