,Gesamtfallzahlen,neu
Bedburg,1122,9
Bergheim,3698,16
Brühl,2424,5
Elsdorf,1032,2
Erftstadt,2037,15
Frechen,2995,8
Hürth,3325,27
Kerpen,3740,13
Pulheim,2110,9
Wesseling,2586,4
