,Gesamtfallzahlen,neu
Bedburg,947,1
Bergheim,2839,2
Brühl,2048,3
Elsdorf,831,0
Erftstadt,1600,0
Frechen,2427,1
Hürth,2708,1
Kerpen,2896,0
Pulheim,1712,1
Wesseling,2072,0
