,Gesamtfallzahlen,neu
Bedburg,1590,11
Bergheim,5221,36
Brühl,3373,50
Elsdorf,1480,9
Erftstadt,2913,23
Frechen,4235,24
Hürth,5350,47
Kerpen,5222,41
Pulheim,3479,26
Wesseling,3480,30
