,Gesamtfallzahlen,neu
Bedburg,948,0
Bergheim,2847,2
Brühl,2064,0
Elsdorf,831,1
Erftstadt,1606,2
Frechen,2438,0
Hürth,2712,1
Kerpen,2911,1
Pulheim,1718,0
Wesseling,2079,0
