,Gesamtfallzahlen,neu
Bedburg,974,6
Bergheim,2947,11
Brühl,2129,5
Elsdorf,860,2
Erftstadt,1655,3
Frechen,2482,5
Hürth,2803,7
Kerpen,3005,2
Pulheim,1767,2
Wesseling,2161,7
