,Gesamtfallzahlen,neu
Bedburg,1459,9
Bergheim,4793,26
Brühl,2996,13
Elsdorf,1354,3
Erftstadt,2677,22
Frechen,3804,19
Hürth,4680,22
Kerpen,4760,16
Pulheim,3027,26
Wesseling,3159,12
