Stadt/VG,13.01.2022,12.01.2022,11.01.2022,10.01.2022,09.01.2022,08.01.2022,07.01.2022,06.01.2022,05.01.2022,04.01.2022,03.01.2022,02.01.2022,01.01.2022,31.12.2021
Andernach,34,37,38,37,0,0,16,17,17,22,16,0,0,12
Bendorf,15,13,11,16,0,0,9,20,20,5,11,0,0,5
Koblenz,116,133,101,123,0,0,94,66,66,83,66,0,0,24
Mayen,12,17,17,10,0,0,2,15,15,18,12,0,0,5
VG Maifeld,10,12,24,18,0,0,4,17,17,12,18,0,0,4
VG Mendig,4,9,5,4,0,0,2,5,5,9,7,0,0,6
VG Pellenz,13,4,14,10,0,0,4,8,8,10,4,0,0,0
VG Rhein-Mosel,17,9,13,13,0,0,5,13,13,10,12,0,0,3
VG Vallendar,4,8,9,13,0,0,13,8,8,8,4,0,0,2
VG Vordereifel,13,12,18,6,0,0,4,7,7,7,6,0,0,3
VG Weißenthurm,30,21,32,39,0,0,27,15,15,20,8,0,0,2
